,NetID,FlowID,runTimeLUDB(ns)
1378,13, 154,9683700437
2603,24, 218,9694861035
1772,17, 268,9712245375
3967,30, 85,9738715356
1870,17, 158,9744496013
589,8, 58,9807141668
2040,18, 158,9831429694
3043,27, 150,9855136139
1877,17, 20,9889818611
1487,13, 25,9896541229
2417,24, 157,9905768841
676,10, 409,9915555875
1937,17, 3,9932374535
2468,24, 104,9940546448
1910,17, 93,10003397738
3564,28, 407,10043938605
928,10, 100,10109742626
2563,24, 50,10146902741
3743,28, 443,10156534296
63,3, 214,10176925598
703,10, 414,10201696601
4219,32, 71,10243354011
604,8, 235,10273541989
4277,32, 20,10322244060
364,8, 14,10344237503
1935,17, 5,10448383184
630,9, 13,10478580956
243,3, 80,10500789209
2414,24, 270,10510460708
4195,32, 77,10527883081
350,8, 5,10550384094
530,8, 173,10587151416
3310,27, 423,10635161861
1724,17, 222,10707874734
1130,12, 86,10727195397
2172,19, 82,10741481382
557,8, 157,10755374156
2637,24, 229,10770427657
3738,28, 386,10781571983
2720,24, 330,10796444555
4234,32, 154,10806926684
2028,18, 68,10841375880
2646,24, 82,10865274361
2756,24, 355,10884658333
3220,27, 109,10904652908
3308,27, 333,10952593384
428,8, 95,11005996435
2747,24, 261,11053385444
2604,24, 7,11097672254
496,8, 6,11160976226
2494,24, 71,11216837004
2420,24, 230,11233332372
1350,13, 73,11236101684
2236,19, 71,11255624358
1040,10, 117,11282870494
4460,34, 70,11316502605
3007,27, 155,11345718254
1080,10, 171,11360077022
729,10, 398,11400807898
3972,30, 94,11420646382
3198,27, 187,11435667543
1372,13, 33,11468381122
2141,18, 154,11519879463
2715,24, 144,11534164062
1343,13, 18,11539222697
2263,19, 2,11544703468
2042,18, 9,11563697273
1915,17, 75,11585160379
1382,13, 134,11606461117
1399,13, 63,11655398379
1093,10, 261,11679297250
2346,24, 386,11711514815
641,9, 9,11749379012
189,3, 143,11762200490
2000,18, 15,11770923461
578,8, 152,11771634363
1223,12, 87,11800545438
2714,24, 119,11848375708
3274,27, 355,11880516582
2600,24, 284,11924131423
2928,27, 102,11928602863
526,8, 237,11951223115
2758,24, 289,11959307549
1111,12, 108,11979793171
2537,24, 117,12000800877
975,10, 86,12009373663
1745,17, 251,12014189042
3601,28, 390,12024434293
3044,27, 111,12092465598
725,10, 338,12116361117
772,10, 387,12129741816
4419,34, 32,12164412474
1938,17, 234,12214231678
431,8, 128,12252740232
400,8, 246,12255371381
916,10, 59,12276240586
366,8, 192,12287376321
1983,18, 181,12294247605
1287,12, 24,12310451826
1356,13, 167,12327992677
1997,18, 26,12363640094
2753,24, 222,12376290337
2595,24, 239,12380555271
3317,28, 43,12407307874
3692,28, 431,12452746038
692,10, 22,12533467404
3040,27, 49,12564559246
3471,28, 65,12625314460
1695,17, 34,12651978600
2142,18, 101,12690196894
1771,17, 277,12783577851
3168,27, 97,12828000933
160,3, 1,12839927668
2512,24, 418,12910164559
3291,27, 26,12975864485
