,NetID,FlowID,runTimeLUDB(ns)
3657,28, 434,8791441317
1307,13, 79,8821180557
3491,28, 40,8841177474
1240,12, 23,8866694824
2302,19, 101,8881198499
3890,29, 97,8914441225
2552,24, 97,8951092636
2675,24, 56,8969291561
4162,32, 95,8996809089
1871,17, 240,9053994705
2135,18, 29,9061132639
2185,19, 89,9071303402
4259,32, 27,9097402639
176,3, 141,9129706984
2740,24, 236,9148535771
3844,29, 66,9157541399
1061,10, 196,9170728543
2946,27, 290,9194677446
4209,32, 58,9221753245
4141,32, 3,9253793467
693,10, 249,9257920054
3706,28, 338,9265358803
3364,28, 218,9276060639
2005,18, 57,9301021339
940,10, 84,9304365240
4197,32, 170,9326076065
767,10, 226,9339149807
3300,27, 397,9358364556
2546,24, 326,9380890463
1787,17, 31,9396412509
519,8, 185,9423236310
3346,28, 200,9452308626
1442,13, 8,9514202729
923,10, 423,9519068512
4248,32, 89,9524193138
1139,12, 20,9545503482
3529,28, 77,9553486513
981,10, 330,9575476858
1712,17, 231,9629129197
3778,29, 49,9636742791
2707,24, 133,9655573538
2742,24, 75,9676235843
1436,13, 139,9687295258
2392,24, 312,9702472499
4222,32, 124,9724100615
2671,24, 192,9743056709
3479,28, 442,9767323544
545,8, 48,9819383231
1800,17, 226,9832098473
4152,32, 7,9878822720
4165,32, 19,9893308029
1726,17, 57,9902014108
2460,24, 343,9910351559
4120,32, 85,9917831008
404,8, 274,9939964294
3449,28, 104,10003235946
4275,32, 213,10015845366
2557,24, 98,10102967656
2612,24, 173,10142950677
451,8, 119,10154994434
2363,24, 207,10162178033
1733,17, 9,10189121874
558,8, 50,10222598963
4247,32, 201,10248582002
2633,24, 109,10306092297
2634,24, 396,10331648550
426,8, 211,10363720651
2129,18, 152,10459698116
2439,24, 114,10481702033
3859,29, 8,10500811127
453,8, 275,10516494144
1018,10, 269,10546012920
1720,17, 81,10567878639
4186,32, 183,10625652182
3908,30, 46,10704837051
2447,24, 232,10726875072
2175,19, 28,10728533294
1538,13, 119,10743758753
982,10, 5,10767805286
3485,28, 277,10771818072
2466,24, 364,10787069414
1309,13, 206,10797854001
1920,17, 188,10829373124
2590,24, 260,10847373382
2471,24, 209,10871907764
1897,17, 162,10886685605
1166,12, 170,10924293478
1186,12, 83,11000414323
1051,10, 292,11045738603
1002,10, 213,11058598205
1030,10, 345,11149242936
699,10, 343,11198390601
3531,28, 98,11217253943
2654,24, 152,11234504681
4134,32, 144,11246974890
510,8, 28,11279679964
874,10, 230,11309122634
4417,34, 43,11329445167
581,8, 105,11356702652
413,8, 203,11362288262
766,10, 442,11408855302
1427,13, 77,11434562417
363,8, 88,11454100649
672,10, 438,11514800136
4123,32, 34,11521418837
814,10, 391,11537897539
537,8, 150,11543975052
3339,28, 175,11550626072
3195,27, 322,11578449046
1789,17, 156,11587031701
2454,24, 378,11649878854
1457,13, 6,11664864263
1458,13, 44,11704816649
1132,12, 46,11727572214
3411,28, 305,11755946424
442,8, 85,11766488048
1704,17, 219,11771044394
1484,13, 115,11798206169
2419,24, 275,11829014862
476,8, 106,11850212498
1949,17, 194,11895651374
1797,17, 87,11924629340
823,10, 208,11940883920
3408,28, 350,11951651024
1804,17, 248,11970628427
3465,28, 303,11984781336
2728,24, 249,12004650619
4361,32, 168,12013235330
2597,24, 107,12016217026
714,10, 432,12070286393
1097,10, 131,12110091416
3776,29, 41,12129647428
3647,28, 253,12138310382
512,8, 195,12181102687
2583,24, 30,12231670669
2103,18, 171,12253581484
71,3, 222,12265806475
1985,18, 103,12281410849
2403,24, 357,12291379641
1422,13, 14,12300019164
564,8, 96,12327936783
3237,27, 124,12340149170
1327,13, 192,12370678195
1005,10, 109,12378472245
3985,30, 30,12392058756
2539,24, 346,12445427802
164,3, 122,12470101653
2743,24, 8,12555287515
2694,24, 158,12625053886
2673,24, 246,12636724325
3860,29, 42,12655978305
2156,18, 146,12769102398
3027,27, 237,12793401674
3164,27, 337,12836451994
898,10, 353,12864639073
2601,24, 141,12947129429
2491,24, 128,12977392350
3095,27, 223,13001154762
2486,24, 317,13041509433
964,10, 217,13045917564
188,3, 4,13055932096
842,10, 371,13108676517
107,3, 75,13183143329
99,3, 54,13237428213
4290,32, 164,13280251111
475,8, 44,13304885861
1362,13, 150,13326904878
4455,34, 71,13366201130
3054,27, 198,13372688175
4136,32, 76,13429185207
1194,12, 134,13465756309
3184,27, 101,13500493784
3030,27, 419,13526881216
1702,17, 281,13546168142
338,8, 241,13597209355
3853,29, 13,13603898587
828,10, 302,13637764379
469,8, 45,13664775941
2193,19, 93,13673702097
155,3, 15,13719029102
3301,27, 31,13775674762
3742,28, 273,13790798253
1878,17, 260,13853219002
2738,24, 147,13867089465
162,3, 79,13916675811
422,8, 129,14021564382
3419,28, 226,14118345274
4250,32, 87,14129416900
1341,13, 131,14166363911
976,10, 214,14208850096
917,10, 172,14221881449
723,10, 69,14241955683
1195,12, 96,14256887131
4184,32, 226,14261958764
129,3, 228,14298194852
952,10, 225,14330398792
130,3, 137,14385333952
2924,27, 291,14389683983
3677,28, 216,14413502558
3437,28, 298,14516207127
776,10, 204,14555542420
1374,13, 138,14634593238
1958,17, 39,14655550000
2058,18, 134,14698621270
599,8, 180,14714432000
1945,17, 30,14722338456
1056,10, 392,14729925794
1200,12, 111,14735142344
1999,18, 33,14779318073
2003,18, 94,14795685714
3328,28, 15,14848297226
3086,27, 220,14872209335
1993,18, 18,14909433863
3857,29, 36,14965776745
